index,base,sort_time_iso,duration_s,has_video,has_cover,has_thumb,mp4,cover,thumb
1,997658cd0f579f4c11c4949b989145da,2026-05-01 17:52:15,3.0,True,True,True,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\997658cd0f579f4c11c4949b989145da.mp4,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\997658cd0f579f4c11c4949b989145da.jpg,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\997658cd0f579f4c11c4949b989145da_thumb.jpg
2,ea8b266deca2d1ef1a4b73e746de627d,2026-05-01 17:52:17,2.1,True,True,True,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\ea8b266deca2d1ef1a4b73e746de627d.mp4,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\ea8b266deca2d1ef1a4b73e746de627d.jpg,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\ea8b266deca2d1ef1a4b73e746de627d_thumb.jpg
3,f5f02f235412326afcc03abf6066cfb1,2026-05-01 17:52:22,7.13,True,True,True,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\f5f02f235412326afcc03abf6066cfb1.mp4,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\f5f02f235412326afcc03abf6066cfb1.jpg,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\f5f02f235412326afcc03abf6066cfb1_thumb.jpg
4,2c989b2ac90e6437aff4d6fc894efc58,2026-05-01 17:52:25,6.43,True,True,True,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\2c989b2ac90e6437aff4d6fc894efc58.mp4,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\2c989b2ac90e6437aff4d6fc894efc58.jpg,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\2c989b2ac90e6437aff4d6fc894efc58_thumb.jpg
5,b36bdb212b3aa013abbb9b149088c7cd,2026-05-01 17:52:31,4.37,True,True,True,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\b36bdb212b3aa013abbb9b149088c7cd.mp4,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\b36bdb212b3aa013abbb9b149088c7cd.jpg,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\b36bdb212b3aa013abbb9b149088c7cd_thumb.jpg
6,8a4d593cbc9967463131b9d24d3dbd3b,2026-05-01 17:52:36,8.63,True,True,True,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\8a4d593cbc9967463131b9d24d3dbd3b.mp4,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\8a4d593cbc9967463131b9d24d3dbd3b.jpg,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\8a4d593cbc9967463131b9d24d3dbd3b_thumb.jpg
7,83fa9efb3a7bb7be42f9b4fa975a9818,2026-05-01 17:52:40,5.53,True,True,True,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\83fa9efb3a7bb7be42f9b4fa975a9818.mp4,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\83fa9efb3a7bb7be42f9b4fa975a9818.jpg,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\83fa9efb3a7bb7be42f9b4fa975a9818_thumb.jpg
8,2771e590bd61b9652c7dc26eec186569,2026-05-01 17:52:44,10.93,True,True,True,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\2771e590bd61b9652c7dc26eec186569.mp4,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\2771e590bd61b9652c7dc26eec186569.jpg,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\2771e590bd61b9652c7dc26eec186569_thumb.jpg
9,87125a2a0d2f9be927a928077c0fd367,2026-05-01 17:52:46,4.5,True,True,True,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\87125a2a0d2f9be927a928077c0fd367.mp4,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\87125a2a0d2f9be927a928077c0fd367.jpg,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\87125a2a0d2f9be927a928077c0fd367_thumb.jpg
10,8d02ecd1b20894552d1eda2b4e32588b,2026-05-01 17:52:51,7.37,True,True,True,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\8d02ecd1b20894552d1eda2b4e32588b.mp4,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\8d02ecd1b20894552d1eda2b4e32588b.jpg,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\8d02ecd1b20894552d1eda2b4e32588b_thumb.jpg
